No,Number of Rooms,Distance to Center (km),Building Age (years),Rent (₺)
1,0.6,0.24,0.27,0.738
2,0.2,0.76,0.83,0.0543
3,0.8,0.1,0.17,0.9221
4,0.4,0.425,0.40,0.4305
5,1.0,0.06,0.07,1.0727
6,0.6,0.5,0.50,0.5553
7,0.4,0.18,0.20,0.65
8,0.8,0.9,0.67,0.5109
9,0.2,0.37,0.33,0.3058
10,1.0,0.61,1.00,0.6716
11,0.4,0.05,0.17,0.6778
12,0.6,0.325,0.23,0.7345
13,0.8,0.2,0.30,0.7898
14,0.2,0.975,0.93,0.127
15,1.0,0.44,0.13,0.9692
16,0.6,0.675,0.67,0.4948
17,0.4,0.85,0.50,0.3227
18,0.8,0.04,0.10,0.9789
19,1.0,0.25,0.20,1.0123
20,0.2,0.125,0.07,0.4741
